Date_Time,LEVEL,barodata,stage
2013-06-26 14:30:00,100.93,99.71113333333332,1.9000000000000004
2013-06-26 14:45:00,100.93,99.7028,2.0
2013-06-26 15:00:00,100.929,99.71113333333332,1.9000000000000004
2013-06-26 15:15:00,100.939,99.7128,2.0
2013-06-26 15:30:00,100.928,99.72113333333331,1.8000000000000007
2013-06-26 15:45:00,100.943,99.72779999999999,1.9000000000000004
2013-06-26 16:00:00,100.928,99.72113333333331,1.8000000000000007
2013-06-26 16:15:00,100.929,99.72779999999999,1.6999999999999993
2013-06-26 16:30:00,100.933,99.72779999999997,1.8000000000000007
2013-06-26 16:45:00,100.927,99.72779999999999,1.6999999999999993
2013-06-26 17:00:00,100.937,99.7378,1.6999999999999993
2013-06-26 17:15:00,100.947,99.7528,1.6999999999999993
2013-06-26 17:30:00,100.964,99.77446666666667,1.5999999999999996
2013-06-26 17:45:00,100.985,99.7978,1.5999999999999996
2013-06-26 18:00:00,100.993,99.80446666666666,1.5999999999999996
2013-06-26 18:15:00,101.009,99.8078,1.6999999999999993
2013-06-26 18:30:00,100.999,99.8178,1.5
2013-06-26 18:45:00,101.021,99.83279999999999,1.5999999999999996
2013-06-26 19:00:00,101.038,99.85446666666665,1.5999999999999996
2013-06-26 19:15:00,101.057,99.8728,1.5999999999999996
2013-06-26 19:30:00,101.065,99.88113333333334,1.5999999999999996
2013-06-26 19:45:00,101.077,99.8928,1.5999999999999996
2013-06-26 20:00:00,101.084,99.90113333333332,1.5999999999999996
2013-06-26 20:15:00,101.094,99.9128,1.5
2013-06-26 20:30:00,101.104,99.91780000000001,1.5999999999999996
2013-06-26 20:45:00,101.1,99.92779999999999,1.4000000000000004
2013-06-26 21:00:00,101.114,99.93446666666667,1.5
2013-06-26 21:15:00,101.113,99.9378,1.5
2013-06-26 21:30:00,101.119,99.94446666666667,1.5
2013-06-26 21:45:00,101.125,99.9478,1.5
2013-06-26 22:00:00,101.124,99.9378,1.5999999999999996
2013-06-26 22:15:00,101.113,99.93279999999999,1.5
2013-06-26 22:30:00,101.107,99.92779999999998,1.5
2013-06-26 22:45:00,101.103,99.9178,1.5999999999999996
2013-06-26 23:00:00,101.091,99.91113333333332,1.5
2013-06-26 23:15:00,101.086,99.8928,1.6999999999999993
2013-06-26 23:30:00,101.063,99.8878,1.5
2013-06-26 23:45:00,101.053,99.8728,1.5
2013-06-27 00:00:00,101.038,99.85,1.5999999999999996
2013-06-27 00:15:00,101.047,99.85,1.6999999999999993
2013-06-27 00:30:00,101.036,99.84,1.6999999999999993
2013-06-27 00:45:00,101.028,99.83,1.6999999999999993
2013-06-27 01:00:00,101.015,99.81,1.8000000000000007
2013-06-27 01:15:00,101.017,99.82000000000001,1.6999999999999993
2013-06-27 01:30:00,101.009,99.81,1.6999999999999993
2013-06-27 01:45:00,101.005,99.8,1.8000000000000007
2013-06-27 02:00:00,100.986,99.8,1.5999999999999996
2013-06-27 02:15:00,100.969,99.78,1.5999999999999996
2013-06-27 02:30:00,100.967,99.77000000000001,1.6999999999999993
2013-06-27 02:45:00,100.956,99.75,1.8000000000000007
2013-06-27 03:00:00,100.911,99.72,1.5999999999999996
2013-06-27 03:15:00,100.903,99.71000000000001,1.6999999999999993
2013-06-27 03:30:00,100.894,99.7,1.6999999999999993
2013-06-27 03:45:00,100.887,99.69,1.6999999999999993
2013-06-27 04:00:00,100.887,99.69,1.6999999999999993
2013-06-27 04:15:00,100.891,99.69,1.6999999999999993
2013-06-27 04:30:00,100.901,99.7,1.6999999999999993
2013-06-27 04:45:00,100.904,99.71000000000001,1.6999999999999993
2013-06-27 05:00:00,100.912,99.71000000000001,1.8000000000000007
2013-06-27 05:15:00,100.918,99.71000000000001,1.8000000000000007
2013-06-27 05:30:00,100.916,99.72,1.6999999999999993
2013-06-27 05:45:00,100.916,99.72999999999999,1.5999999999999996
2013-06-27 06:00:00,100.926,99.74,1.5999999999999996
2013-06-27 06:15:00,100.935,99.74,1.6999999999999993
2013-06-27 06:30:00,100.942,99.75,1.6999999999999993
2013-06-27 06:45:00,100.947,99.76,1.5999999999999996
2013-06-27 07:00:00,100.943,99.75,1.6999999999999993
2013-06-27 07:15:00,100.95,99.76,1.5999999999999996
2013-06-27 07:30:00,100.955,99.76,1.6999999999999993
2013-06-27 07:45:00,100.986,99.78999999999999,1.6999999999999993
2013-06-27 08:00:00,101.004,99.81,1.6999999999999993
2013-06-27 08:15:00,101.032,99.83,1.8000000000000007
2013-06-27 08:30:00,101.028,99.84,1.5999999999999996
2013-06-27 08:45:00,101.035,99.84,1.6999999999999993
2013-06-27 09:00:00,101.047,99.85,1.6999999999999993
2013-06-27 09:15:00,101.048,99.85,1.6999999999999993
2013-06-27 09:30:00,101.047,99.85,1.6999999999999993
2013-06-27 09:45:00,101.053,99.87,1.5999999999999996
2013-06-27 10:00:00,101.038,99.84,1.6999999999999993
2013-06-27 10:15:00,101.011,99.83,1.5
2013-06-27 10:30:00,101.013,99.82000000000001,1.6999999999999993
2013-06-27 10:45:00,101.008,99.82000000000001,1.5999999999999996
2013-06-27 11:00:00,101.009,99.81,1.6999999999999993
2013-06-27 11:15:00,100.988,99.78999999999999,1.6999999999999993
